hotel_name,user_name,user_contribution,heading,review
The Leela Palace New Delhi,Ashley Z,202,Amazing Service and an oasis from the craziness of Delhi.,My husband and I stayed 2 nights here on our first trip to India. I was in between the Taj Mahal and this and so glad I booked here. What we enjoyed the most was the attention to detail throughout our entire stay. In the...
The Leela Palace New Delhi,Wael F,2,Excellent hotel,"So I have been to many hotels, but this hotel is special, they will customise according to your groups needs... 

And when you have a person like Yogesh Kumar and his team, things get insanely great. He met and did everything we asked for and..."
Grand Godwin Hotel,Marco B,5,Very good stay,"It was an excellent hotel for quality/price. Good breakfast, great rooms, friendly staff. Very central, but in a dodgy area at night. As long as you use a taxi at night you should be fine. The restaurant was good as well"
Grand Godwin Hotel,Utkarsh C,1,Very nice service,The hotel had a very welcoming staff and great service. The rooms were well up to the mark and its very close to the New delhi station and metro. I would totally recommend the hotel to anyone and everyone.
Grand Godwin Hotel,WiganAli,24,Great hotel ,"Stayed at the grand Godwin hotel beginning of June . We stayed for 3 nights before heading on. The hotel is lovely and clean, rooms cleaned daily. Breakfast was great, something for everyone. There is no bar due to laws but we went to the..."
Grand Godwin Hotel,laura69697,47,Short stay ,We booked one night here sadly we didn't get to stay long our flight was very early leaving Delhi and we had been out all day on trips. What short amount we stayed was very nice rooms are lovely staff are friendly the staircase in...
Grand Godwin Hotel,Ahsan H,3,Excellent hotel in Paharganj,Firstly I would like to thank the GM who was so amazing and welcoming person. It reflects the hotel atmosphere. We supposed to arrive a bit early in the morning and we don't need to wait for the room. Till c/out we were so happy...
Holiday Inn New Delhi International Airport,DeepakBachu,285,Perfect for business trips,"This is my new favorite for business visits to Delhi. Located in the Aerocity, they provide complimentary pick-up from and drop to the airport. Both restaurants in the hotel are pretty decent. Worth the money spent."
Holiday Inn New Delhi International Airport,Buddy V,145,One of the nicest Holiday Inn’s Anywhere ,"When I learned we would be staying at a Holiday Inn while in Delhi, I was not very excited about it. My expectations were wrong, this was perhaps the nicest Holiday Inn in the world. 
It was visually pleasing on the inside, clean, and the..."
Holiday Inn New Delhi International Airport,frqnt_trvlr_247,7,Good Hotel near the airport and friendly staff,"Hotel staff was very friendly right from the check-in. Our room was double upgraded to a suite. We arrived at the hotel at 1.30am and had our next flight the same evening at 5pm. The check-in staff, Pankaj, was kind enough to do a late..."
Holiday Inn New Delhi International Airport,leeyikki,62,Excellent Service!,"Briefly stayed at this hotel for one night between two flights (midnight to 8am on the next day). Originally I engaged an outside driver for the transfer service between the airport to the hotel, but without luck I lost contact with the driver. Luckily the..."
Holiday Inn New Delhi International Airport,Manita G,1,comfortable hotel and friendly staff,I travelled for the conference. Hotel was very beautiful so as staff was very nice..always greeted us whenever they see us particularly laxmi and Naveen was so helpful he looked after us in possible way. Way I would definitely recommend this place.i would have given...
Pride Plaza Hotel Aerocity New Delhi,Robert I,83,Good hotel but it is strange that they not provided  shuttle service  to airport,"Good quality rooms and restaurant, as this place is close to airport  it is convenient to stay there when you have an early flight. There is plenty of other hotels around and probably they need to compete strongly as night cost me about $90."
Pride Plaza Hotel Aerocity New Delhi,nabiazeem,1,Pride Plaza,"Had a short and wonderful stay at the Pride Plaza hotel , this is a brand new property , nice restaurant with delicious India and fast foods, service oriented and well spoken staff Ms Karishma & Ms Deepa thank you both for the great support..."
Pride Plaza Hotel Aerocity New Delhi,tperkins3,1,Its my second home,"I always enjoy staying here.  The staff is very friendly and helpful, especially Karishma.  She was very polite and always remember me and my family when we come.  The breakfast is also very good.  Highly recommend."
Pride Plaza Hotel Aerocity New Delhi,Emma L,1,Great stay for good price,Nice hotel with easy distance from Airport. Spacious rooms with traditional and luxury appearance. Great initiative with one touch service. Special shout to Mr. Naval. Cafe pride is an great place to cater to your tastebuds. Definitely a happy place to stay and worth recommending
Pride Plaza Hotel Aerocity New Delhi,Samar906,1,My stay,"Nice and comfortable stay...Good , smart and courteous staff...specially front office staff nisha , shalini and guest relation staff laxmi...Good service at restaurant ...rooms are comfortable with good aircon...one must visit"
Hotel Godwin Deluxe,donstattoos,15,overnight stay.,"travelled from Goa to Delhi with my wife and stayed over for one night. We were met at the airport by private air conditioned car for the 10min drive to hotel. busy area and lovely rooms, friendly staff and fantastic buffet breakfast. good value."
Hotel Godwin Deluxe,Noel N,1,Great visit,"The hotel has magnificent services. The rooms are exotic, clean and cool. The food is candid. Staffs are very cooperative and helpful. The hotel is ideally located, just some few minutes from the famous Connaught Place.
It's a home away from home !!!!!!!"
Hotel Godwin Deluxe,Brigitte R,1,good hotel,i had visit in hotel for 7night for office trip ... it is realy good service here and food are nice and room are good .. roftop resturent and brekfast also good .. i would like to see again godwin hotel ..
Hotel Godwin Deluxe,rasolofonirina j,1,Excellent hotel wonderful staff,The hotel is good and staff very good ... clean rooms food are nice here .. and front desk men rohit very good very helpful and wifi is free .. hotel godwin deluxe is best in this whole area i would recommand to all my...
Hotel Godwin Deluxe,Lokesh_babu,16,"A nice, comfy hotel near by NDLS and metro railway stations","The hotel is located close to the New Delhi railway station. The facilities in the room are top notch with designer lamps, switches, curtains, etc., The bed is very comfy and the room is quite spacious, as well as the washroom. 

The only downside is..."
The Claridges New Delhi,Michel G,1,"Thank you, Satyan!","Amazing hotel with an extremely professional staff. 
Special thanks to Satyan who saved my life in a kind of a way after a sleepless night and 4 hours at the Immigration Office dealing with unjustified so-called expiry visa date. 
Thank you again for Satyan's care,..."
The Claridges New Delhi,Paul H,44,Oasis in midst of chaos,"Used claridges as a base for two week trip to India , best decision ever made, very comfortable very safe, superb staff, help with all arrangements for getting to Shimla and Agra nothing to much trouble , the concierges were superb. I would also single..."
The Claridges New Delhi,Katrin R,12,Nice stay - topped with super nice staff,"We stayed in this hotel for a 3 night stay in New Delhi; we wanted to have decently located and not overly expensive hotel with a pool. Nice room (we got an upgrade), good breakfast (wide selection of different cuisines) and small but clean pool...."
The Claridges New Delhi,lennartalltimer,3,Good place,"Good hotel with excellent location, rooms are not quite up to date. We made a day tour to Taj Mahal and had a wonderful experience. Our driver Rishi was more than nice and helped us wherever he could."
The Claridges New Delhi,Dawn3754,6,Great hotel with great service,"Claridge's was our first stop on our 2 week trip to India.  Suffice it to say, we loved our experience.  The hotel staff set us up with a fantastic driver--Sunny, who took us on a 9 day tour of the golden circle (Delhi, Agra, Rathborne..."
The Lalit New Delhi,sanjay4,34,Good location and variety of restaurants !,"Some places become famous because of the location and the brand! 
This implies here 100% ..
It could be compared with any of the good hotels around canought place and barakhambha road New Delhi but can not be placed as one of the best! 
Restaurants..."
The Lalit New Delhi,GopiDave,21,"Want things to move at your pace, while on a business trip to Delhi? Stay at The Lalit","The Lalit is situated at barakhamba Road, so you are close the most happening central place of Delhi and yet away from the noisy crowded inner circle of Connaught Place. 

The check in was with super speed I have ever experienced in 17 years of..."
The Lalit New Delhi,jainmohit5,20,Birthday Cake @ pastry shop,"Ordered for a simple chocolate truffle eggless birthday cake. 
Chef Mr Ramesh from his efforts decorated it a little bit as i have told its for my 1 yr old daughter and the taste too was excellent.

Although the present staff at the counter said..."
The Lalit New Delhi,dickoo2017,2,Excellent,"I was touring Delhi with family, and due to the location advantage The Lalit has, thought of checking in the Hotel. The check in was a very pleasant experience 
I must say, the rooms are superb, top of the world kind of hospitality. The food..."
The Lalit New Delhi,Charlemagne R,2,"Smelly, unclean","This place has gone downhill - had stains on sheets and towels and weird smells emanating from the bath

Unfortunately I wouldn’t recommend this to anyone especially when there are better establishments like the taj or leela"
